country,n_users,n,condorcet_3cycles,condorcet_3cycle_fraction,num_4subsets,odd_parity_4subsets,odd_parity_fraction,cohomology_class_nonzero,beta_1_acyclic_complex,num_acyclic_triples,hodge_n_edges,hodge_gradient_energy,hodge_cyclic_residual_energy,hodge_total_energy,hodge_rho_cyc
NZL,10196,20,0,0.0,4845,0,0.0,False,0,1140,190,329931.6501864285,6431.016185735255,336362.66637216415,0.01911929244436343
PAK,1098,20,0,0.0,4845,0,0.0,False,0,1140,190,34220.459288448146,649.0225266619782,34869.481815110106,0.018612909996865372
PAN,447,20,0,0.0,4845,0,0.0,False,0,1140,190,13454.986867170019,276.2580925649178,13731.244959734928,0.02011893993407068
PER,2766,20,0,0.0,4845,0,0.0,False,0,1140,190,80929.10521396395,1264.7262697538747,82193.83148371794,0.015387119044382409
PHL,7027,20,0,0.0,4845,0,0.0,False,0,1140,190,208228.00728428183,3546.5429524762662,211774.55023675773,0.01674678543059747
POL,51551,20,0,0.0,4845,0,0.0,False,0,1140,190,1612902.3882781279,28964.522268855806,1641866.9105469813,0.017641212014685402
PRI,630,20,0,0.0,4845,0,0.0,False,0,1140,190,20248.28927495834,373.08941665771107,20621.378691616017,0.01809236046906006
PRT,15059,20,0,0.0,4845,0,0.0,False,0,1140,190,466662.92896459805,7875.549301371502,474538.47826596885,0.01659622909853355
PRY,519,20,0,0.0,4845,0,0.0,False,0,1140,190,16246.03851024964,287.5273178415271,16533.565828091178,0.017390520643345245
PSE,392,20,0,0.0,4845,0,0.0,False,0,1140,190,11510.363678979844,256.9288169894466,11767.292495969257,0.021834148941012085
QAT,552,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,16795.211632404706,347.7249843250775,17142.9366167298,0.02028386338346095
REU,536,20,0,0.0,4845,0,0.0,False,0,1140,190,19619.603567688227,509.81084295031945,20129.414410638492,0.025326660406021648
ROU,12421,20,0,0.0,4845,0,0.0,False,0,1140,190,401791.19927502994,7205.2359606794635,408996.435235709,0.01761686738547491
RUS,69270,20,0,0.0,4845,0,0.0,False,0,1140,190,2200271.7843997283,40014.191327773195,2240285.9757274976,0.017861197972629014
SAU,3245,20,0,0.0,4845,0,0.0,False,0,1140,190,100725.1320378279,1954.067865047879,102679.19990287576,0.019030805332494134
SGP,14475,20,0,0.0,4845,0,0.0,False,0,1140,190,451551.18096525944,8204.625043742084,459755.8060090011,0.01784561486012306
SLV,403,20,2,0.0017543859649122807,4845,32,0.006604747162022704,True,0,1138,190,12192.873457230919,276.70059514468795,12469.57405237561,0.022190059899598016
SRB,2787,20,0,0.0,4845,0,0.0,False,0,1140,190,87874.96136101466,1562.9825139927561,89437.94387500755,0.017475608743611943
SVK,12533,20,0,0.0,4845,0,0.0,False,0,1140,190,419592.6138916436,8225.368280701896,427817.9821723449,0.019226326670365005
SVN,1973,20,0,0.0,4845,0,0.0,False,0,1140,190,60533.6143524055,1053.2020804403842,61586.81643284579,0.017101096329419703
SWE,22755,20,0,0.0,4845,0,0.0,False,0,1140,190,702198.0706814189,12823.19189362348,715021.2625750424,0.01793400079802196
THA,5149,20,0,0.0,4845,0,0.0,False,0,1140,190,160068.21083997737,3088.1812613110433,163156.3921012883,0.018927736888137883
TTO,318,20,2,0.0017543859649122807,4845,32,0.006604747162022704,True,0,1138,190,9773.290276385082,219.3765534298134,9992.66682981487,0.021953754404706566
TUN,766,20,0,0.0,4845,0,0.0,False,0,1140,190,24650.341353832548,559.7870280364826,25210.12838186905,0.022204846383847756
TUR,59035,20,0,0.0,4845,0,0.0,False,0,1140,190,1720852.4559372335,24079.182711343878,1744931.6386485742,0.013799499176937886
TWN,8761,20,0,0.0,4845,0,0.0,False,0,1140,190,261624.54599373305,4457.886053851047,266082.4320475842,0.01675377821657099
UKR,14639,20,0,0.0,4845,0,0.0,False,0,1140,190,464548.62784398836,8233.43806252324,472782.06590651226,0.017414869675177816
URY,1968,20,0,0.0,4845,0,0.0,False,0,1140,190,57999.79345067322,949.3254488168936,58949.11889948987,0.016104149926914495
USA,390325,20,0,0.0,4845,0,0.0,False,0,1140,190,12414846.005129896,228585.60476018456,12643431.60989005,0.018079395832803685
VEN,2779,20,0,0.0,4845,0,0.0,False,0,1140,190,86629.03045101732,1487.812421052056,88116.8428720695,0.01688454071388036
VNM,3653,20,0,0.0,4845,0,0.0,False,0,1140,190,114420.8581527853,1970.1767420307538,116391.03489481562,0.016927220758980562
ZAF,3812,20,0,0.0,4845,0,0.0,False,0,1140,190,119713.91200639267,2316.8063384743036,122030.71834486685,0.018985435551783416
