split_index,group,aspect,model,fit_ok,n_train_obs,train_weight,n_features,n_iter
38,expert,helpful,group_head,True,9009,6470.0,30000,20
38,all,truthful,pooled,True,4455,3301.0,30000,20
38,normal,truthful,group_head,True,2020,1508.0,30000,20
38,expert,truthful,group_head,True,2435,1793.0,30000,20
38,all,harmless,pooled,True,1333,1031.0,30000,20
38,normal,harmless,group_head,True,590,460.5,30000,20
38,expert,harmless,group_head,True,743,570.5,30000,12
39,all,overall,pooled,True,17974,13200.5,30000,20
39,normal,overall,group_head,True,9063,6786.5,30000,20
39,expert,overall,group_head,True,8911,6414.0,30000,20
39,all,helpful,pooled,True,18011,13200.5,30000,20
39,normal,helpful,group_head,True,9029,6722.0,30000,20
39,expert,helpful,group_head,True,8982,6478.5,30000,20
39,all,truthful,pooled,True,4461,3283.0,30000,20
39,normal,truthful,group_head,True,1989,1486.0,30000,20
39,expert,truthful,group_head,True,2472,1797.0,30000,20
39,all,harmless,pooled,True,1322,1016.5,30000,20
39,normal,harmless,group_head,True,595,460.0,30000,20
39,expert,harmless,group_head,True,727,556.5,30000,15
40,all,overall,pooled,True,18015,13204.5,30000,20
40,normal,overall,group_head,True,9075,6782.0,30000,20
40,expert,overall,group_head,True,8940,6422.5,30000,20
40,all,helpful,pooled,True,18048,13202.5,30000,20
40,normal,helpful,group_head,True,9043,6719.0,30000,20
40,expert,helpful,group_head,True,9005,6483.5,30000,20
40,all,truthful,pooled,True,4473,3281.5,30000,20
40,normal,truthful,group_head,True,2001,1479.0,30000,20
40,expert,truthful,group_head,True,2472,1802.5,30000,20
40,all,harmless,pooled,True,1322,1011.0,30000,20
40,normal,harmless,group_head,True,574,444.5,30000,20
40,expert,harmless,group_head,True,748,566.5,30000,20
41,all,overall,pooled,True,17946,13135.5,30000,20
41,normal,overall,group_head,True,9007,6722.0,30000,20
41,expert,overall,group_head,True,8939,6413.5,30000,20
41,all,helpful,pooled,True,17981,13142.0,30000,20
41,normal,helpful,group_head,True,8994,6683.5,30000,20
41,expert,helpful,group_head,True,8987,6458.5,30000,20
41,all,truthful,pooled,True,4482,3283.5,30000,20
41,normal,truthful,group_head,True,1978,1468.0,30000,20
41,expert,truthful,group_head,True,2504,1815.5,30000,20
41,all,harmless,pooled,True,1306,1010.0,30000,20
41,normal,harmless,group_head,True,581,456.0,30000,20
41,expert,harmless,group_head,True,725,554.0,30000,20
42,all,overall,pooled,True,17949,13157.5,30000,20
42,normal,overall,group_head,True,9028,6753.0,30000,20
42,expert,overall,group_head,True,8921,6404.5,30000,20
42,all,helpful,pooled,True,17968,13145.5,30000,20
42,normal,helpful,group_head,True,9012,6699.0,30000,20
