rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
14,19,69,90,7,0.07777777777777778,0.052376457311984356,0.007482351044569192,313.43089537106823,80.97724817822747,394.4081435492958,0.20531332707664132
15,20,73,102,9,0.08823529411764706,0.12076700048634155,0.013418555609593506,334.29308745111206,91.79548355870544,426.08857100981703,0.21543756346515683
16,19,78,126,6,0.047619047619047616,0.10455763611880657,0.017426272686467764,383.0772108283361,126.86312855299177,509.94033938132753,0.2487803351798081
17,20,57,59,4,0.06779661016949153,0.026167120903778946,0.0065417802259447365,269.6631716336051,57.45970323385016,327.1228748674549,0.17565174326965652
18,20,70,70,3,0.04285714285714286,0.06951143725230105,0.023170479084100346,344.2036943663023,86.40295720650529,430.60665157280744,0.2006540235523886
19,20,73,109,3,0.027522935779816515,0.01467497172566297,0.004891657241887656,312.66755940948013,92.17122190292734,404.8387813124076,0.22767389429472737
20,20,69,72,4,0.05555555555555555,0.03518110921336728,0.00879527730334182,356.81311960682467,64.65694927984504,421.47006888666937,0.15340816359899304
21,20,82,117,9,0.07692307692307693,0.03420222276466882,0.003800246973852091,482.5055002073794,98.44679083190901,580.9522910392881,0.1694576170029276
22,21,76,95,6,0.06315789473684211,0.08926365098688464,0.014877275164480772,421.4237543602308,100.11377725052344,521.5375316107545,0.19195891222118713
23,20,85,145,12,0.08275862068965517,0.07182855985049501,0.005985713320874584,404.3229298557742,105.29535531165445,509.6182851674285,0.2066161250023849
24,20,68,84,5,0.05952380952380952,0.07752818406356667,0.015505636812713334,369.05389906206443,91.64964538725275,460.7035444493175,0.19893410087999708
25,20,79,97,4,0.041237113402061855,0.014719971412433286,0.003679992853108322,345.6671741423254,116.54470505903565,462.21187920136055,0.25214562910068233
26,21,77,130,10,0.07692307692307693,0.04025526598254142,0.004025526598254142,421.43077362454517,84.20201761259325,505.63279123713784,0.16652800030349132
27,20,75,101,3,0.0297029702970297,0.004759849979326216,0.0015866166597754052,323.99485003029304,68.33740785054636,392.3322578808385,0.17418248557910374
28,21,73,84,5,0.05952380952380952,0.026698850042879082,0.005339770008575816,302.95792543996015,85.96014512624899,388.9180705662091,0.22102378786643498
29,21,79,101,4,0.039603960396039604,0.02307764986336415,0.005769412465841037,458.56073988983866,102.0115196405532,560.5722595303919,0.18197746660887448
30,20,86,144,18,0.125,0.11599527335745494,0.006444181853191941,383.98885334226935,126.69261610018641,510.6814694424552,0.2480853989836466
31,21,79,118,8,0.06779661016949153,0.045780500559616785,0.005722562569952099,387.9878464874185,105.40637081441264,493.39421730183113,0.21363519700501654
32,21,76,95,8,0.08421052631578947,0.09607470100150564,0.012009337625188205,354.0560778483257,75.62697810122945,429.6830559495548,0.17600642393054508
33,20,78,112,3,0.026785714285714284,0.04593465674110836,0.015311552247036118,497.4860567800188,101.19037231785065,598.6764290978697,0.16902347812545726
34,20,77,123,20,0.16260162601626016,0.10967148060762016,0.005483574030381007,351.82597518178466,112.93725885020518,464.76323403199086,0.24299955456982517
35,20,69,96,4,0.041666666666666664,0.004446595027071977,0.0011116487567679942,389.7784309499868,71.42898874913917,461.2074196991262,0.154873893389956
36,21,81,128,9,0.0703125,0.044789072258321745,0.004976563584257972,492.64025425198867,99.30737542336078,591.947629675349,0.16776378592448365
37,21,81,118,7,0.059322033898305086,0.06016350056830465,0.008594785795472092,537.17904947698,103.73091769382489,640.9099671708047,0.1618494375297806
38,21,85,148,9,0.060810810810810814,0.05357647016340686,0.00595294112926743,502.4878267149656,138.65524580913169,641.1430725240974,0.21626256564430135
39,20,78,130,11,0.08461538461538462,0.09400682506989368,0.00854607500635397,379.2769230487421,88.92898449463915,468.20590754338104,0.18993563101593192
40,20,66,90,3,0.03333333333333333,0.008135825587502728,0.00271194186250091,401.703723152344,73.85317430137346,475.55689745371717,0.1552982927948408
41,20,72,87,11,0.12643678160919541,0.14212897707901032,0.012920816098091849,342.67345903216204,92.1613246844837,434.83478371664546,0.2119456127606835
42,21,77,120,16,0.13333333333333333,0.17279803995094156,0.010799877496933848,341.8634845919773,100.10975179485757,441.9732363868352,0.22650636634304466
43,20,78,115,10,0.08695652173913043,0.09918326361080114,0.009918326361080114,297.7444112324708,102.03022795573264,399.7746391882043,0.2552193609952813
