attribute,conditioning,threshold,score_delta,n_min,tau,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean
choice_fluency,low_q25,72.0,2.0,25,0.05,21,101,230,3,0.013043478260869565,0.013985241107257023,0.004661747035752341
choice_fluency,low_q25,72.0,2.0,25,0.1,21,101,230,2,0.008695652173913044,0.01232741617357002,0.00616370808678501
choice_fluency,low_q25,72.0,2.0,50,0.0,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,2.0,50,0.05,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,2.0,50,0.1,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,2.0,100,0.0,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,2.0,100,0.05,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,2.0,100,0.1,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,5.0,10,0.0,21,202,1194,35,0.02931323283082077,0.15243975712322794,0.004355421632092227
choice_fluency,low_q25,72.0,5.0,10,0.05,21,202,1194,16,0.01340033500837521,0.12017649003418543,0.007511030627136589
choice_fluency,low_q25,72.0,5.0,10,0.1,21,202,1194,8,0.006700167504187605,0.10007477428516466,0.012509346785645583
choice_fluency,low_q25,72.0,5.0,25,0.0,21,77,118,4,0.03389830508474576,0.004455532348909484,0.001113883087227371
choice_fluency,low_q25,72.0,5.0,25,0.05,21,77,118,1,0.00847457627118644,0.0014005602240896359,0.0014005602240896359
choice_fluency,low_q25,72.0,5.0,25,0.1,21,77,118,0,0.0,0.0,0.0
choice_fluency,low_q25,72.0,5.0,50,0.0,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,5.0,50,0.05,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,5.0,50,0.1,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,5.0,100,0.0,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,5.0,100,0.05,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,5.0,100,0.1,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,10.0,10,0.0,21,198,1131,43,0.03801945181255526,0.22381094778717445,0.0052049057624924296
choice_fluency,low_q25,72.0,10.0,10,0.05,21,198,1131,26,0.022988505747126436,0.1796107980482637,0.006908107617240911
choice_fluency,low_q25,72.0,10.0,10,0.1,21,198,1131,5,0.004420866489832007,0.07889075531638462,0.015778151063276923
choice_fluency,low_q25,72.0,10.0,25,0.0,21,43,28,0,0.0,0.0,0.0
choice_fluency,low_q25,72.0,10.0,25,0.05,21,43,28,0,0.0,0.0,0.0
choice_fluency,low_q25,72.0,10.0,25,0.1,21,43,28,0,0.0,0.0,0.0
choice_fluency,low_q25,72.0,10.0,50,0.0,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,10.0,50,0.05,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,10.0,50,0.1,21,0,0,0,,0.0,0.0
